,title,link,summary
54,"Vučić o koronavirusu: Brinem za svakog pojedinca, ali najveći problem ekonomija",http://rs.n1info.com/Vesti/a575538/Vucic-o-koronavirusu.html,"Predsednik Srbije Aleksandar Vučić izjavio je da nema mesta panici posle prvog registrovanog slučaja korona virusa u zemlji, navodeći da nismo žarište epidemije i da će čak i u slučaju da dođe do porasta broja obolelih, taj broj ići do destak osoba a ne do stotina i hiljada kao u Kini, Italiji ili Južnoj Koreji."
55,Destilerija upozorila protiv upotrebe votke za odbranu od koronavirusa,http://rs.n1info.com/Lifestyle/a575532/Destilerija-upozorila-protiv-upotrebe-votke-za-odbranu-od-koronavirusa.html,Američki proizvođač votke Titos upozorio je kupce da ne mogu da koriste tu votku umesto sredstva za dezinfekciju jer ne sadrži dovoljan postotak alkohola.
56,"Rast BDP-a u Srbiji u prošloj godini 4,2 odsto",http://rs.n1info.com/Biznis/a575536/Rast-BDP-a-u-Srbiji-u-prosloj-godini-4-2-odsto.html,"Bruto domaći proizvod (BDP) u 2019. godini iznosio je ukupno 45,9 milijardi evra, i porastao je za 4,2 odsto, pokazuju podaci Ministarstva finansija."
57,Vajnstin prebačen u zloglasni njujorški zatvor Rikers,http://rs.n1info.com/Showbiz/a575534/Vajnstin-prebacen-u-zloglasni-njujorski-zatvor-Rikers.html,"Bivši filmski producent Harvi Vajnstin prebačen je u zloglasni njujorški zatvor Rikers, deset dana nakon što je osuđen za silovanje i seksualni napad."
58,Uhapšen zbog dodirivanja žene po intimnim delovima tela u autobusu,http://rs.n1info.com/Vesti/a575530/Uhapsen-zbog-dodirivanja-zene-po-intimnim-delovima-tela-u-autobusu.html,Pripadnici Ministarstva unutrašnjih poslova u Beogradu uhapsili su Z. C. (57) zbog postojanja osnova sumnje da je izvršio krivično delo nedozvoljene polne radnje.
59,Ministarstvo prosvete preporučuje odlaganje ekskurzija zbog koronavirusa,http://rs.n1info.com/Vesti/a575528/Ministarstvo-prosvete-preporucuje-odlaganje-ekskurzija-zbog-koronavirusa.html,"Ministarstvo prosvete Srbije je svim školama preporučilo da se đačke ekskurzije u inostranstvo odlože zbog koronavirusa koji se proširio svuda u svetu, potvrđeno je agenciji Beta."
60,Nemačka firma Brose u Pančevu počela izgradnju svoje prve fabrike u Srbiji,http://rs.n1info.com/Biznis/a575526/Nemacka-firma-Brose-u-Pancevu-pocela-izgradnju-svoje-prve-fabrike-u-Srbiji.html,"Nemačka kompanija ""Brose"" koja proizvodi elektroniku i senzorsku tehnologiju za vrata automobila i sedišta automobila, elektromotore i elektroniku, počela je danas u Pančevu izgradnju svoje prve fabrike i razvojnog centra u Srbiji."
61,Serbian government orders quarantine for migrants,http://rs.n1info.com/English/NEWS/a575524/Serbian-government-orders-quarantine-for-migrants.html,"The Serbian Health Ministry has been ordered to set up a quarantine for migrants because of the coronavirus outbreak, the Serbian government said on Friday after a meeting between Prime Minister Ana Brnabic and several cabinet ministers."
62,Ispunjena želja slavljenice u SAD: Stoti rođendan proslavila u zatvoru,http://rs.n1info.com/Lifestyle/a575520/Ispunjena-zelja-slavljenice-u-SAD-Stoti-rodjendan-u-zatvoru.html,"Jedna stanovnica Severne Karoline, u SAD, otišla je za svoj stoti rođendan u - zatvor."
63,Zdrava Srbija Milana Stamatovića predala listu za izbore u Čajetini,http://rs.n1info.com/Izbori-2020/a575518/Zdrava-Srbija-Milana-Stamatovica-predala-listu-za-izbore-u-Cajetini.html,"Predstavnici izborne liste ""Milan Stamatović Zdrava Srbija-DSS-PUPS"" predali su Opštinskoj izbornoj komisiji u Čajetini listu s 31 kandidatom za predstojeće lokalne izbore 26. aprila, saopštila je ""Zdrava Srbija""."
64,Brnabić: Otvoriti podatke države i javnih preduzeća u što većem obimu,http://rs.n1info.com/Vesti/a575516/Brnabic-Otvoriti-podatke-drzave-i-javnih-preduzeca-u-sto-vecem-obimu.html,"Otvaranje podataka državne uprave, lokalnih samouprava, javnih preduzeća i institucija u što većem obimu važno je za građane, privredu i transparentnije društvo, izjavila je predsednica Vlade Srbije Ana Brnabić."
65,"Autori serijala ""Vladalac"" najavili tužbe protiv Vučića i Informera",http://rs.n1info.com/Vesti/a575512/Autori-serijala-Vladalac-najavili-tuzbe-protiv-Vucica-i-Informera.html,"Autor serijala ""Vladalac"" Slaviša Lekić saopštio je da će, zbog hajke koja se protiv njega vodi, pred nadležnim organima morati da odgovaraju predsednik Srbije Aleksandar Vučić i još neke osobe, dok je od direktora policije Vladimira Rebića javno zatražio da MUP Srbije uradi bezbednosnu procenu njegove ugroženosti."
66,"Bombaš samoubica se razneo u blizini američke ambasade u Tunisu, pet povređenih",http://rs.n1info.com/Svet/a575514/Bombas-samoubica-se-razneo-u-blizini-americke-ambasade-u-Tunisu-pet-povredjenih.html,"Nedaleko od američke ambasade u Tunisu došlo je do snažne eksplozije, javlja AFP."
67,Pašta fažoli,http://rs.n1info.com/Cooking/a575410/Pasta-fazoli.html,Izdašno medeteransko jelo sa testeninom i pasuljem
68,"Nema novih slučajeva koronavirusa u BiH, pod nadzorom 210 osoba",http://rs.n1info.com/Region/a575510/Nema-novih-slucajeva-koronavirusa-u-BiH-pod-nadzorom-210-osoba.html,"Ministar zdravlja i socijalne zaštite Republike Srpske Alen Šeranić rekao je da nema novih pozitivnih slučajeva koronavirusa u Republici Srpskoj, a da je trenutno pod nadzorom 210 osoba."
69,Istraživanje: Dve trećine mladih želi da ode iz Srbije,http://rs.n1info.com/Vesti/a575508/Istrazivanje-Dve-trecine-mladih-zeli-da-ode-iz-Srbije.html,"Većina istraživanja pokazuje da između 60 i 70 odsto mladih želi da napusti Srbiju i ode u inostranstvo, u potrazi za poslom i boljim životom, istaknuto je danas na panelu o migracijama mladih koji su organizovali Fondacija Fridrih Ebart i Biznis info grupa."
70,"EU nije finansirala film ""Vladalac""",http://rs.n1info.com/Vesti/a575505/EU-nije-finansirala-film-Vladalac.html,"Evropska unija nije finansirala, niti je na bilo koji način bila uključena u dokumentarni serijal ""Vladalac"", rečeno je FoNetu u Delegaciji EU u Beogradu, koja je time demantovala tekst objavljen u današnjem Informeru."
71,"""Rodžer se oporavlja, nadam se da će uskoro na teren""",http://rs.n1info.com/Sport-Klub/Tenis/a575504/Rodzer-se-oporavlja-nadam-se-da-ce-uskoro-na-teren.html,"Švajcarski teniser Rodžer Federer i dalje je motivisan i uživa u tenisu, otkrio je njegov trener Ivan Ljubičić."
